query,true_category,source,latency
What is the speed of light in a vacuum?,Static,GEMINI_API,2.9241
What is the chemical formula for water?,Static,GEMINI_API,2.2975
How many bones are in the adult human body?,Static,GEMINI_API,2.2366
What is Newton's second law of motion?,Static,GEMINI_API,7.7121
What is the Pythagorean theorem?,Static,GEMINI_API,4.9791
What is the atomic number of carbon?,Static,GEMINI_API,2.0625
What is photosynthesis?,Static,GEMINI_API,7.1912
What is the theory of general relativity?,Static,GEMINI_API,10.8714
What is DNA?,Static,GEMINI_API,4.9768
What is the second law of thermodynamics?,Static,CACHE_HIT_FAST,0.3178
What is the role of mitochondria in a cell?,Static,GEMINI_API,6.0509
What is the central dogma of molecular biology?,Static,GEMINI_API,4.1014
What is the structure of the periodic table?,Static,GEMINI_API,12.8235
What is Ohm's law?,Static,GEMINI_API,9.096
What is the Big Bang theory?,Static,GEMINI_API,6.4992
What does 'habeas corpus' mean?,Static,GEMINI_API,3.2717
What is the presumption of innocence?,Static,GEMINI_API,4.0698
What is the difference between civil and criminal law?,Static,GEMINI_API,8.1632
What is the principle of stare decisis?,Static,GEMINI_API,6.7771
What is the difference between a tort and a crime?,Static,CACHE_HIT_FAST,0.1218
What is a black hole?,Static,GEMINI_API,12.5044
What is the speed of sound in air?,Static,GEMINI_API,4.1002
What is cellular respiration?,Static,GEMINI_API,7.5444
What is the greenhouse effect?,Static,GEMINI_API,6.3608
What is CRISPR-Cas9?,Static,GEMINI_API,9.0031
What is the law of conservation of energy?,Static,GEMINI_API,5.5179
What is osmosis?,Static,GEMINI_API,4.2848
What is the difference between mitosis and meiosis?,Static,GEMINI_API,7.4997
What is the placebo effect?,Static,GEMINI_API,6.374
What is the human genome?,Static,CACHE_HIT_FAST,0.0708
What is the boiling point of water at sea level?,Static,GEMINI_API,2.9927
What is the difference between an acid and a base?,Static,GEMINI_API,9.9057
What is the electromagnetic spectrum?,Static,GEMINI_API,10.8477
What is a neuron?,Static,GEMINI_API,6.1785
What is gravity?,Static,GEMINI_API,5.4591
What is the immune system?,Static,GEMINI_API,12.795
What is a blockchain?,Static,GEMINI_API,9.0567
What is quantum entanglement?,Static,GEMINI_API,8.0767
What is insulin?,Static,GEMINI_API,8.5028
What is the Miranda warning in US law?,Static,GEMINI_API,7.3483
What is Avogadro's number?,Static,GEMINI_API,3.1673
What is the placebo-controlled trial?,Static,CACHE_HIT_FAST,0.075
What is common law?,Static,GEMINI_API,6.8067
What is Euclidean geometry?,Static,GEMINI_API,8.3405
What is the role of the liver in the human body?,Static,GEMINI_API,10.7396
What is due process in US law?,Static,GEMINI_API,8.967
What is the difference between kinetic and potential energy?,Static,GEMINI_API,8.5355
What is triage in medicine?,Static,GEMINI_API,8.9987
What is the rule of law?,Static,CACHE_HIT_FAST,0.0757
What is entropy in thermodynamics?,Static,GEMINI_API,7.8346
What are the GDPR data retention requirements for EU businesses?,Slow-Moving,GEMINI_API,12.5325
What are HIPAA's requirements for protecting patient health information?,Slow-Moving,GEMINI_API,14.2526
What is the current Python version and its key features?,Slow-Moving,GEMINI_API,8.7301
What does the OpenAI API's chat completions endpoint support?,Slow-Moving,GEMINI_API,12.4967
What are the requirements to become a licensed physician in the United States?,Slow-Moving,GEMINI_VOLATILE,16.4442
What is the current EU AI Act and what does it regulate?,Slow-Moving,GEMINI_API,13.3356
What is ISO 27001 and what does it require?,Slow-Moving,GEMINI_VOLATILE,14.1783
What are the FDA's drug approval requirements in the US?,Slow-Moving,GEMINI_API,12.572
What are the key provisions of the Americans with Disabilities Act (ADA)?,Slow-Moving,GEMINI_VOLATILE,9.6561
What does the California Consumer Privacy Act (CCPA) require from businesses?,Slow-Moving,GEMINI_API,11.4219
What is the current Kubernetes release and major features?,Slow-Moving,GEMINI_API,16.3294
